ordering,alg,B,seed,W1_avg,W1_osc,ref
IO,is,50000.0,11,0.08390039798222039,0.08137102849289593,pooled MH B=500000.0
IO,is,50000.0,23,0.07070248902605923,0.07522296015175182,pooled MH B=500000.0
IO,is,50000.0,41,0.11276218492865803,0.11896654657993593,pooled MH B=500000.0
IO,mh,50000.0,11,0.01182362484939735,0.014412680407518204,pooled MH B=500000.0
IO,mh,50000.0,23,0.00953708893791299,0.011635718447647084,pooled MH B=500000.0
IO,mh,50000.0,41,0.011830005220850582,0.01676473899052944,pooled MH B=500000.0
IO,mw,50000.0,11,0.003640475470290981,0.0032960922431748956,pooled MH B=500000.0
IO,mw,50000.0,23,0.004961572530195581,0.004155467787300763,pooled MH B=500000.0
IO,mw,50000.0,41,0.0051182150358328364,0.0042401139415762755,pooled MH B=500000.0
IO,ns,50000.0,11,0.10726848494912603,0.08957361286246397,pooled MH B=500000.0
IO,ns,50000.0,23,0.061837869542705544,0.062321553764687454,pooled MH B=500000.0
IO,ns,50000.0,41,0.07248591548533752,0.055158370850258855,pooled MH B=500000.0
IO,is,500000.0,11,0.022846475312523398,0.01749494430921885,pooled MH B=500000.0
IO,mh,500000.0,11,0.003826292042425995,0.004446077422335991,pooled MH B=500000.0 excl. seed 11
IO,mh,500000.0,23,0.003274432492280682,0.0026488690037528933,pooled MH B=500000.0 excl. seed 23
IO,mh,500000.0,41,0.004140847844447727,0.00472873568260026,pooled MH B=500000.0 excl. seed 41
IO,mw,500000.0,11,0.008452678209625957,0.008015999070478372,pooled MH B=500000.0
IO,mw,500000.0,23,0.0077299317985231215,0.006859072101186869,pooled MH B=500000.0
IO,mw,500000.0,41,0.011399200015603385,0.011656143054149035,pooled MH B=500000.0
IO,ns,500000.0,11,0.02701514469233003,0.02964818927218073,pooled MH B=500000.0
IO,ns,500000.0,23,0.017436640810166024,0.01675061021110577,pooled MH B=500000.0
IO,nuts,500000.0,11,0.012169387785416685,0.014975081903594973,pooled MH B=500000.0
IO,nuts,500000.0,23,0.01029076123522893,0.011306151044907856,pooled MH B=500000.0
IO,ns,4.0e6,11,0.01307023202045915,0.01056440372300381,pooled MH B=500000.0
NO,is,50000.0,11,0.12528695463136932,0.12418399337841823,pooled MH B=500000.0
NO,is,50000.0,23,0.06447804518564976,0.06319225666892173,pooled MH B=500000.0
NO,is,50000.0,41,0.10198696172515614,0.10472421969444153,pooled MH B=500000.0
NO,mh,50000.0,11,0.009897943356631016,0.009631102815750461,pooled MH B=500000.0
NO,mh,50000.0,23,0.00800099166375323,0.007756606722543781,pooled MH B=500000.0
NO,mh,50000.0,41,0.010217673637704355,0.01098768566663217,pooled MH B=500000.0
NO,mw,50000.0,11,0.004182663002535423,0.003621776844949866,pooled MH B=500000.0
NO,mw,50000.0,23,0.005072977263781847,0.005299981606368746,pooled MH B=500000.0
NO,mw,50000.0,41,0.005548165290195224,0.005086851341773497,pooled MH B=500000.0
NO,ns,50000.0,11,0.10006808590357208,0.10089589139089135,pooled MH B=500000.0
NO,ns,50000.0,23,0.06516083527577769,0.06985197838811523,pooled MH B=500000.0
NO,ns,50000.0,41,0.08940816196091012,0.06935491787575566,pooled MH B=500000.0
NO,is,500000.0,11,0.04205362718601036,0.039307127904173345,pooled MH B=500000.0
NO,mh,500000.0,11,0.00388593217948154,0.002923973672972986,pooled MH B=500000.0 excl. seed 11
NO,mh,500000.0,23,0.00564170115450597,0.006304964898774342,pooled MH B=500000.0 excl. seed 23
NO,mh,500000.0,41,0.004084474402929474,0.004239545552024581,pooled MH B=500000.0 excl. seed 41
NO,mw,500000.0,11,0.004947086453622965,0.004212452866430718,pooled MH B=500000.0
NO,mw,500000.0,23,0.00647076131262033,0.006743999929385119,pooled MH B=500000.0
NO,mw,500000.0,41,0.0071434418071666264,0.0072749988221509935,pooled MH B=500000.0
NO,ns,500000.0,11,0.011541261202590247,0.012763660660113184,pooled MH B=500000.0
NO,ns,500000.0,23,0.01758151605462853,0.017040595217311494,pooled MH B=500000.0
NO,nuts,500000.0,11,0.008023922633841225,0.007282497264030672,pooled MH B=500000.0
NO,nuts,500000.0,23,0.009645989720030865,0.010626563728188688,pooled MH B=500000.0
NO,ns,4.0e6,11,0.010509853131203077,0.008406660880490859,pooled MH B=500000.0
