ordering,alg,B,seed,chain,n,frac_upper,mean_sin2th23,rhat_th23,acc_rate
IO,mh,50000.0,11,1,12123,0.7820671450960983,0.5878726830606863,1.1230607998682764,0.23094688221709006
IO,mh,50000.0,11,2,12123,0.5763424894828013,0.5315676252444695,1.1230607998682764,0.22896733751237217
IO,mh,50000.0,11,3,12123,0.6523962715499464,0.5479487394919959,1.1230607998682764,0.24719564500164962
IO,mh,50000.0,11,4,12123,0.6530561742143034,0.5495284306381193,1.1230607998682764,0.22997607852841706
IO,mh,50000.0,23,1,12123,0.7434628392312134,0.5777544815491042,1.1440319922054099,0.23127680633454306
IO,mh,50000.0,23,2,12123,0.4173059473727625,0.4940435411390708,1.1440319922054099,0.25
IO,mh,50000.0,23,3,12123,0.9072836756578405,0.6211188801502128,1.1440319922054099,0.2384526558891455
IO,mh,50000.0,23,4,12123,0.5368308174544255,0.5179737614366406,1.1440319922054099,0.2269240287057659
IO,mh,50000.0,41,1,12123,0.6606450548544089,0.5555634489636555,1.1050939745811186,0.23325635103926096
IO,mh,50000.0,41,2,12123,0.5436773075971294,0.5198082886175681,1.1050939745811186,0.2453810623556582
IO,mh,50000.0,41,3,12123,0.44955869009321126,0.5004154857169523,1.1050939745811186,0.24967007588254703
IO,mh,50000.0,41,4,12123,0.5261898869916687,0.5184260106957208,1.1050939745811186,0.22609915037531964
IO,mh,500000.0,11,1,121248,0.6390785827395091,0.54842490386406,1.0101824050702144,0.23650504334056363
IO,mh,500000.0,11,2,121248,0.6528437582475587,0.5517774964757438,1.0101824050702144,0.23904527047645754
IO,mh,500000.0,11,3,121248,0.648043679070995,0.5498072672003816,1.0101824050702144,0.24114838060520086
IO,mh,500000.0,11,4,121248,0.5360583267352863,0.5213993317808648,1.0101824050702144,0.2379338215888097
IO,mh,500000.0,23,1,121248,0.6195978490366851,0.542848326739746,1.013419249115437,0.2372143275408457
IO,mh,500000.0,23,2,121248,0.5630525864344154,0.5296057443669464,1.013419249115437,0.23782464185271632
IO,mh,500000.0,23,3,121248,0.5989294668778041,0.5375080987938667,1.013419249115437,0.23679370551509704
IO,mh,500000.0,23,4,121248,0.6470622195830035,0.5499888165049127,1.013419249115437,0.2351956320929005
IO,mh,500000.0,41,1,121248,0.6105915149115861,0.5392174287589256,1.0067390475149385,0.23571328423327204
IO,mh,500000.0,41,2,121248,0.5481162575877541,0.522704101396924,1.0067390475149385,0.23954836740921576
IO,mh,500000.0,41,3,121248,0.5576256927949327,0.5274412985391997,1.0067390475149385,0.2381133040272497
IO,mh,500000.0,41,4,121248,0.638971364476115,0.5469178114903823,1.0067390475149385,0.23609461599366588
IO,nuts,500000.0,11,1,937,0.5570971184631803,0.5251007869136769,1.0825208079598039,NaN
IO,nuts,500000.0,23,1,700,0.6885714285714286,0.5584619232882339,1.0037481004633524,NaN
NO,mh,50000.0,11,1,12123,0.6585828590282933,0.5544031615477304,1.052677105481699,0.23366875618607721
NO,mh,50000.0,11,2,12123,0.5392229646127196,0.5168529961084659,1.052677105481699,0.24282415044539757
NO,mh,50000.0,11,3,12123,0.43495834364431246,0.4978932659616574,1.052677105481699,0.24175189706367536
NO,mh,50000.0,11,4,12123,0.5798894663037202,0.5263341367829752,1.052677105481699,0.2422667656520663
NO,mh,50000.0,23,1,12123,0.676317743132888,0.5462983853908691,1.0491569705998216,0.23911250412405147
NO,mh,50000.0,23,2,12123,0.7676317743132888,0.5779529010199035,1.0491569705998216,0.23680303530188057
NO,mh,50000.0,23,3,12123,0.5602573620390993,0.5312072334838429,1.0491569705998216,0.23894754206532498
NO,mh,50000.0,23,4,12123,0.6717809123154335,0.551813464636424,1.0491569705998216,0.23542027550936237
NO,mh,50000.0,41,1,12123,0.6846490142703952,0.5521723639493926,1.1594920796823227,0.24703068294292313
NO,mh,50000.0,41,2,12123,0.4013033077621051,0.4887383446686158,1.1594920796823227,0.24018475750577367
NO,mh,50000.0,41,3,12123,0.7858615854161511,0.5831983279564618,1.1594920796823227,0.255031342791158
NO,mh,50000.0,41,4,12123,0.7229233688031016,0.5611904235860947,1.1594920796823227,0.2205724655613297
NO,mh,500000.0,11,1,121248,0.6145091053048297,0.5392943621263285,1.0051907932797712,0.23890506313454132
NO,mh,500000.0,11,2,121248,0.5875890736342043,0.5309010875584462,1.0051907932797712,0.24050507633052642
NO,mh,500000.0,11,3,121248,0.6293794536817102,0.5416854209251271,1.0051907932797712,0.24177518989847338
NO,mh,500000.0,11,4,121248,0.5552998812351544,0.5226853275874779,1.0051907932797712,0.24077098178939035
NO,mh,500000.0,23,1,121248,0.5960263262074426,0.531823388649078,1.0072144511905963,0.24211333701721252
NO,mh,500000.0,23,2,121248,0.5810982449195038,0.5295766584150934,1.0072144511905963,0.24122260802150947
NO,mh,500000.0,23,3,121248,0.6268062153602534,0.5419199700628674,1.0072144511905963,0.24203086211020297
NO,mh,500000.0,23,4,121248,0.6727203747690683,0.5522605028216779,1.0072144511905963,0.24037509897070466
NO,mh,500000.0,41,1,121248,0.6239030746898918,0.5386742375516962,1.0039273205839787,0.24057105625613406
NO,mh,500000.0,41,2,121248,0.6261216679862761,0.5420255597275607,1.0039273205839787,0.24290509612450412
NO,mh,500000.0,41,3,121248,0.589453021905516,0.5314407302490488,1.0039273205839787,0.24477727651362072
NO,mh,500000.0,41,4,121248,0.6044965690155714,0.5341457123825154,1.0039273205839787,0.23506367115333862
NO,nuts,500000.0,11,1,944,0.6186440677966102,0.5391219223591853,1.009351224446579,NaN
NO,nuts,500000.0,23,1,745,0.6805369127516778,0.5513805534279499,1.0209577311048434,NaN
