ordering,alg,B,seed,logZ,logZ_se,stop
IO,is,50000.0,11,-510.24957857113293,NaN,budget
IO,is,50000.0,23,-511.3310167437496,NaN,budget
IO,is,50000.0,41,-511.18550139274424,NaN,budget
IO,mw,50000.0,11,-511.39354175100556,NaN,T_max
IO,mw,50000.0,23,-511.41803379370333,NaN,T_max
IO,mw,50000.0,41,-511.44715618356827,NaN,T_max
IO,ns,50000.0,11,-510.9905080342855,0.05368153939276144,budget
IO,ns,50000.0,23,-512.2505286769025,0.050118236796920186,budget
IO,ns,50000.0,41,-512.6609364945006,0.0509855801277603,budget
IO,is,500000.0,11,-511.39527299691014,NaN,budget
IO,mw,500000.0,11,-511.5028521329335,NaN,T_max
IO,mw,500000.0,23,-511.5544434321749,NaN,T_max
IO,mw,500000.0,41,-511.5499085868003,NaN,T_max
IO,ns,500000.0,11,-509.8299600173902,0.05090169712394352,maxcall
IO,ns,500000.0,23,-509.7688630455156,0.0505258716762761,maxcall
IO,ns,4.0e6,11,-509.1673540239132,0.05058293525769195,dlogz
NO,is,50000.0,11,-509.34783876304556,NaN,budget
NO,is,50000.0,23,-511.1602572332635,NaN,budget
NO,is,50000.0,41,-510.517530438251,NaN,budget
NO,mw,50000.0,11,-510.98917726602264,NaN,T_max
NO,mw,50000.0,23,-511.0180076749815,NaN,T_max
NO,mw,50000.0,41,-510.99689065857297,NaN,T_max
NO,ns,50000.0,11,-511.60222161464503,0.05101011927863783,budget
NO,ns,50000.0,23,-510.9747034245202,0.0515348965286595,budget
NO,ns,50000.0,41,-511.29181721443564,0.049740131466185375,budget
NO,is,500000.0,11,-510.61962123058356,NaN,budget
NO,mw,500000.0,11,-511.0738689227711,NaN,T_max
NO,mw,500000.0,23,-511.09297354163164,NaN,T_max
NO,mw,500000.0,41,-511.0904449848116,NaN,T_max
NO,ns,500000.0,11,-509.6096552786249,0.050540383942295125,maxcall
NO,ns,500000.0,23,-509.4542987606504,0.05105882395379842,maxcall
NO,ns,4.0e6,11,-509.39477101827265,0.05279206113062781,dlogz
