ord,method,M,N,h,eps,logZ,se,ess,pup,frac_out
NO,anchored_is,3000,150000,0.6,0.1,-510.8598679532349,0.005815339579066984,24700.740871274298,0.6013479428054973,0.21482666666666667
NO,anchored_is,3000,150000,0.9,0.1,-510.87340177687895,0.0071840788315891005,17159.33660147153,0.606783550062795,0.3715733333333333
NO,pooled_plain_is,0,650000,NaN,NaN,-510.45952777688933,0.28756980773055224,12.092219295237959,NaN,NaN
NO,mw_B5e5_seed11,0,117567,NaN,NaN,-511.0738689227711,NaN,NaN,NaN,NaN
NO,mw_B5e5_seed23,0,117693,NaN,NaN,-511.09297354163164,NaN,NaN,NaN,NaN
NO,mw_B5e5_seed41,0,118203,NaN,NaN,-511.0904449848116,NaN,NaN,NaN,NaN
NO,ns_B4e+06_seed11,0,844282,NaN,NaN,-509.39477101827265,0.05279206113062781,NaN,NaN,NaN
NO,ns_B5e5_seed11,0,345302,NaN,NaN,-509.6096552786249,0.050540383942295125,NaN,NaN,NaN
NO,ns_B5e5_seed23,0,345323,NaN,NaN,-509.4542987606504,0.05105882395379842,NaN,NaN,NaN
NO,is_B5e5_seed11,0,500000,NaN,NaN,-510.61962123058356,NaN,NaN,NaN,NaN
IO,anchored_is,3000,150000,0.6,0.1,-511.2891404622967,0.00614002142724584,22539.64124740929,0.6205383372699469,0.24028
IO,anchored_is,3000,150000,0.9,0.1,-511.27508450581024,0.007987870603543125,14189.96887517717,0.6159572988763102,0.3952866666666667
IO,pooled_plain_is,0,650000,NaN,NaN,-511.22297676621395,0.17644731773461464,32.11804383258627,NaN,NaN
IO,mw_B5e5_seed11,0,115391,NaN,NaN,-511.5028521329335,NaN,NaN,NaN,NaN
IO,mw_B5e5_seed23,0,115086,NaN,NaN,-511.5544434321749,NaN,NaN,NaN,NaN
IO,mw_B5e5_seed41,0,114864,NaN,NaN,-511.5499085868003,NaN,NaN,NaN,NaN
IO,ns_B4e+06_seed11,0,850365,NaN,NaN,-509.1673540239132,0.05058293525769195,NaN,NaN,NaN
IO,ns_B5e5_seed11,0,342993,NaN,NaN,-509.8299600173902,0.05090169712394352,NaN,NaN,NaN
IO,ns_B5e5_seed23,0,343045,NaN,NaN,-509.7688630455156,0.0505258716762761,NaN,NaN,NaN
IO,is_B5e5_seed11,0,500000,NaN,NaN,-511.39527299691014,NaN,NaN,NaN,NaN
