cell,alg,ordering,B,seed,n_samples,ess,ess_over_n,max_w,top1pct_share,pareto_k,logZ
nu_dakami_IO_is_d11_B5e4_seed11,is,IO,50000.0,11,50000,4.0,0.0001,0.4288,1.0,3.73,-510.24957857113293
nu_dakami_IO_is_d11_B5e4_seed23,is,IO,50000.0,23,50000,4.8,0.0001,0.3714,1.0,3.64,-511.3310167437496
nu_dakami_IO_is_d11_B5e4_seed41,is,IO,50000.0,41,50000,1.7,0.0,0.7627,1.0,3.66,-511.18550139274424
nu_dakami_IO_is_d11_B5e5_seed11,is,IO,500000.0,11,500000,25.9,0.0001,0.1348,1.0,2.34,-511.39527299691014
nu_dakami_IO_mw_d11_B5e4_seed11,mw,IO,50000.0,11,9538,4101.9,0.4301,0.001,0.064,-0.18,-511.39354175100556
nu_dakami_IO_mw_d11_B5e4_seed23,mw,IO,50000.0,23,8422,3834.7,0.4553,0.0009,0.061,-0.29,-511.41803379370333
nu_dakami_IO_mw_d11_B5e4_seed41,mw,IO,50000.0,41,7741,3170.4,0.4096,0.0013,0.065,-0.17,-511.44715618356827
nu_dakami_IO_mw_d11_B5e5_seed11,mw,IO,500000.0,11,3297,2018.1,0.6121,0.0031,0.042,0.16,-511.5028521329335
nu_dakami_IO_mw_d11_B5e5_seed23,mw,IO,500000.0,23,2992,1957.7,0.6543,0.0047,0.039,0.16,-511.5544434321749
nu_dakami_IO_mw_d11_B5e5_seed41,mw,IO,500000.0,41,2770,1248.9,0.4509,0.0154,0.054,0.3,-511.5499085868003
nu_dakami_IO_ns_d11_B4e+06_seed11,ns,IO,4.0e6,11,38829,18398.1,0.4738,0.0002,0.036,1.09,-509.1673540239132
nu_dakami_IO_ns_d11_B5e4_seed11,ns,IO,50000.0,11,10277,2.8,0.0003,0.5597,0.999,3.2,-510.9905080342855
nu_dakami_IO_ns_d11_B5e4_seed23,ns,IO,50000.0,23,10209,10.5,0.001,0.166,0.998,3.0,-512.2505286769025
nu_dakami_IO_ns_d11_B5e4_seed41,ns,IO,50000.0,41,10192,5.6,0.0005,0.3661,0.997,3.07,-512.6609364945006
nu_dakami_IO_ns_d11_B5e5_seed11,ns,IO,500000.0,11,19325,76.6,0.004,0.0539,0.791,0.92,-509.8299600173902
nu_dakami_IO_ns_d11_B5e5_seed23,ns,IO,500000.0,23,19389,74.5,0.0038,0.0806,0.767,0.82,-509.7688630455156
nu_dakami_NO_is_d11_B5e4_seed11,is,NO,50000.0,11,50000,1.5,0.0,0.8112,1.0,3.78,-509.34783876304556
nu_dakami_NO_is_d11_B5e4_seed23,is,NO,50000.0,23,50000,7.3,0.0001,0.2411,1.0,3.61,-511.1602572332635
nu_dakami_NO_is_d11_B5e4_seed41,is,NO,50000.0,41,50000,2.0,0.0,0.6959,1.0,3.64,-510.517530438251
nu_dakami_NO_is_d11_B5e5_seed11,is,NO,500000.0,11,500000,9.8,0.0,0.2894,1.0,2.5,-510.61962123058356
nu_dakami_NO_mw_d11_B5e4_seed11,mw,NO,50000.0,11,9457,3438.7,0.3636,0.0013,0.076,-0.1,-510.98917726602264
nu_dakami_NO_mw_d11_B5e4_seed23,mw,NO,50000.0,23,9914,3172.0,0.3199,0.0013,0.087,-0.19,-511.0180076749815
nu_dakami_NO_mw_d11_B5e4_seed41,mw,NO,50000.0,41,10241,2975.1,0.2905,0.0067,0.091,0.18,-510.99689065857297
nu_dakami_NO_mw_d11_B5e5_seed11,mw,NO,500000.0,11,3966,2275.8,0.5738,0.0021,0.047,-0.02,-511.0738689227711
nu_dakami_NO_mw_d11_B5e5_seed23,mw,NO,500000.0,23,4092,2191.0,0.5354,0.0015,0.049,-0.38,-511.09297354163164
nu_dakami_NO_mw_d11_B5e5_seed41,mw,NO,500000.0,41,4602,2232.2,0.485,0.0032,0.061,0.22,-511.0904449848116
nu_dakami_NO_ns_d11_B4e+06_seed11,ns,NO,4.0e6,11,41548,18910.7,0.4552,0.0002,0.035,2.88,-509.39477101827265
nu_dakami_NO_ns_d11_B5e4_seed11,ns,NO,50000.0,11,7788,2.9,0.0004,0.5616,0.999,3.89,-511.60222161464503
nu_dakami_NO_ns_d11_B5e4_seed23,ns,NO,50000.0,23,10197,6.3,0.0006,0.2952,0.999,2.87,-510.9747034245202
nu_dakami_NO_ns_d11_B5e4_seed41,ns,NO,50000.0,41,7707,5.1,0.0007,0.2858,0.999,4.14,-511.29181721443564
nu_dakami_NO_ns_d11_B5e5_seed11,ns,NO,500000.0,11,21643,212.2,0.0098,0.0381,0.671,0.66,-509.6096552786249
nu_dakami_NO_ns_d11_B5e5_seed23,ns,NO,500000.0,23,21654,157.7,0.0073,0.0359,0.689,0.72,-509.4542987606504
