ordering,alg1,alg2,B,W1_avg
NO,is,mh,500000.0,0.04256416310562646
NO,is,mw,500000.0,0.04100381496940372
NO,is,ns,500000.0,0.048725128964707556
NO,is,nuts,500000.0,0.04441387314954555
NO,mh,mw,500000.0,0.00721899855172815
NO,mh,ns,500000.0,0.011909924818410928
NO,mh,nuts,500000.0,0.008709782569042052
NO,mw,ns,500000.0,0.013353486424781824
NO,mw,nuts,500000.0,0.010369847056066183
NO,ns,nuts,500000.0,0.011249786423141008
IO,is,mh,500000.0,0.02396756657125191
IO,is,mw,500000.0,0.022792069688320305
IO,is,ns,500000.0,0.03753280034334826
IO,is,nuts,500000.0,0.022890192990077097
IO,mh,mw,500000.0,0.00973162977734758
IO,mh,ns,500000.0,0.02776122652172892
IO,mh,nuts,500000.0,0.01279846647799705
IO,mw,ns,500000.0,0.02944922315441051
IO,mw,nuts,500000.0,0.012832227346283503
IO,ns,nuts,500000.0,0.027630299050272332
