experiment,bin_center,observed,no_osc,ppd_lo,ppd_med,ppd_hi
Daya Bay (far hall),1.0,18388.160000000003,18696.46927406833,18312.108546353065,18353.222855503616,18389.589838939613
Daya Bay (far hall),1.43,24005.38,25409.849821398835,24034.620832674587,24133.63459216502,24248.87933860362
Daya Bay (far hall),1.68,33680.240000000005,35928.31477811212,33400.82305709398,33523.02082630631,33685.743135625
Daya Bay (far hall),1.92,41465.35,44884.59666045509,41242.59447685188,41407.19769947484,41603.03592807149
Daya Bay (far hall),2.17,47637.770000000004,51874.05084191992,47369.689123036995,47548.02609033058,47737.22028880082
Daya Bay (far hall),2.42,52942.16,57469.463585153324,52365.34693415317,52553.14441928764,52742.54606541495
Daya Bay (far hall),2.67,54914.549999999996,60168.63873479188,54868.6670881018,55045.134465200405,55238.52621826741
Daya Bay (far hall),2.92,55474.310000000005,60480.93277450846,55293.27443374989,55461.37030857713,55650.74470083743
Daya Bay (far hall),3.17,54295.79,59323.07804922587,54417.306587634186,54588.67074184121,54769.2933982212
Daya Bay (far hall),3.42,51504.69,55863.1678342299,51445.74672674137,51613.77399468318,51784.94620724405
Daya Bay (far hall),3.67,46882.520000000004,50753.88300367614,46941.741462571095,47097.28893332757,47243.722573040475
Daya Bay (far hall),3.92,42510.2,45537.01721620928,42301.5063299838,42440.572104427134,42564.33352117201
Daya Bay (far hall),4.17,38965.08000000001,41670.11166571518,38883.9969193813,39001.71261186976,39107.85409772274
Daya Bay (far hall),4.42,35727.73,37787.99170287854,35410.30813147125,35512.496857678285,35601.76375417514
Daya Bay (far hall),4.67,31610.079999999998,33564.93479031464,31574.30635465758,31663.52338359264,31739.13645800911
Daya Bay (far hall),4.92,27687.35,29143.40997261006,27518.701709584275,27591.831789493095,27654.33997202204
Daya Bay (far hall),5.17,23443.870000000003,24510.429195401484,23225.604083148446,23283.1252056316,23333.103208066834
Daya Bay (far hall),5.42,18945.02,19817.639379042866,18840.27942325625,18883.686270451988,18922.418759845903
Daya Bay (far hall),5.67,15003.310000000001,15608.733078825708,14883.94463809499,14916.098807924123,14944.79678706942
Daya Bay (far hall),5.92,11523.35,12364.621046035583,11823.488674307915,11847.809675716253,11868.90008873145
Daya Bay (far hall),6.17,8862.91,9261.617637890482,8879.17232782654,8896.380661218154,8911.46055302097
Daya Bay (far hall),6.42,6213.89,6552.1871690860935,6296.639867177921,6308.184870371264,6318.549746454918
Daya Bay (far hall),6.67,4414.6900000000005,4525.029276360761,4358.184200011413,4365.739742334618,4372.572613731994
Daya Bay (far hall),6.92,2892.5299999999997,2995.4750538801236,2890.9363278558294,2895.6828954975344,2899.992806066601
Daya Bay (far hall),7.17,1834.24,1866.5598059232018,1804.8301383014482,1807.6640793693728,1810.2073203335103
Daya Bay (far hall),9.65,2128.56,2229.1422729187825,2183.4896810418,2185.6472138348445,2187.600126528195
KamLAND,1.1111111111111112,143.0,158.49339664337558,127.42804427446555,134.39817320778465,141.54242108884029
KamLAND,1.5333333333333334,229.0,291.9487116664566,220.06295162163926,229.26491296431004,238.86563510840938
KamLAND,1.9555555555555557,228.0,356.050115334348,246.79175567736857,254.2956798647593,261.1379860998741
KamLAND,2.3777777777777778,238.0,403.73874756164565,222.61295014864123,230.78023768829627,239.90360172694852
KamLAND,2.8,169.0,406.65338391658634,195.27208857605154,202.29614475410375,210.17696914188065
KamLAND,3.222222222222222,195.0,387.849556832908,182.92394949956315,190.12409851793373,199.37149665376444
KamLAND,3.644444444444444,189.0,338.0132941121149,179.14236785552188,186.84345734055893,195.38540514935795
KamLAND,4.066666666666666,176.0,280.65344331206893,168.45417413028426,173.72110947273103,179.1359528902877
KamLAND,4.488888888888889,181.0,233.23430599178363,150.22258296648266,153.31006321015118,156.50115894066874
KamLAND,4.911111111111111,123.0,179.41621661036683,112.64513290254563,116.27461407992766,119.04229858454703
KamLAND,5.333333333333333,77.0,128.67202237545985,73.13974059901437,77.25761472734584,79.74390698701924
KamLAND,5.7555555555555555,70.0,100.82566756564219,55.21192994254447,58.46314779349955,60.94270406677675
KamLAND,6.177777777777777,48.0,69.27872560774631,36.165083507806955,38.188824314205384,39.788044818028915
KamLAND,6.6,14.0,34.469851278247255,14.321690799228671,15.281308917628516,16.293597072434185
KamLAND,7.022222222222222,9.0,18.233491906439575,8.058612429576067,8.526187317839724,9.004233539614056
KamLAND,7.444444444444445,2.0,8.583577604127079,4.4161383802321446,4.5892396222247065,4.798115849933168
KamLAND,7.866666666666666,1.0,4.1928396927586205,2.439833643692097,2.509512110567198,2.593084693251345
MINOS+ far detector (CC),0.5,13.0,16.60445951001703,9.019343903734438,9.52923340608762,10.04662885429183
MINOS+ far detector (CC),1.125,9.0,29.159480001601228,8.908001607625167,9.849997443334434,10.80976209711252
MINOS+ far detector (CC),1.375,9.0,49.66856929171754,10.922412059113253,12.282626273892932,13.764905064668778
MINOS+ far detector (CC),1.625,19.0,71.40038978633527,15.917489190726972,17.494415405251488,19.138485660438995
MINOS+ far detector (CC),1.875,30.0,96.41692008703694,26.755905463087352,28.697664018424206,30.822379389912296
