experiment,bin_center,observed,no_osc,ppd_lo,ppd_med,ppd_hi
Daya Bay (far hall),1.0,18388.160000000003,18696.469274068335,18315.535225090596,18356.800916284716,18393.353217555505
Daya Bay (far hall),1.43,24005.38,25409.84982139884,24045.72655951477,24147.127826134263,24259.03319054057
Daya Bay (far hall),1.68,33680.240000000005,35928.31477811212,33396.510193507085,33543.40713373675,33696.16916809248
Daya Bay (far hall),1.92,41465.35,44884.59666045509,41262.626121126246,41422.91078028207,41599.79318740456
Daya Bay (far hall),2.17,47637.770000000004,51874.05084191993,47385.900657267804,47547.62707506582,47737.694356299166
Daya Bay (far hall),2.42,52942.16,57469.463585153324,52377.563528183324,52546.71156858678,52726.89539228091
Daya Bay (far hall),2.67,54914.549999999996,60168.63873479189,54852.13944546914,55038.316271480275,55232.64920927826
Daya Bay (far hall),2.92,55474.310000000005,60480.93277450846,55269.88723382553,55444.5521124807,55634.31602849395
Daya Bay (far hall),3.17,54295.79,59323.07804922587,54399.98426952977,54571.154341198606,54758.0789151832
Daya Bay (far hall),3.42,51504.69,55863.167834229906,51442.7782021474,51589.28706376933,51763.86354392971
Daya Bay (far hall),3.67,46882.520000000004,50753.88300367615,46940.15166798966,47072.35882631286,47231.93688744464
Daya Bay (far hall),3.92,42510.2,45537.01721620929,42298.99906942944,42422.07527057035,42555.41945574562
Daya Bay (far hall),4.17,38965.08000000001,41670.11166571519,38874.501274189344,38986.48503929858,39101.1380448645
Daya Bay (far hall),4.42,35727.73,37787.99170287854,35401.89265102144,35497.13734537922,35595.13638638745
Daya Bay (far hall),4.67,31610.079999999998,33564.93479031464,31571.241140080165,31649.26836252742,31732.11871454397
Daya Bay (far hall),4.92,27687.35,29143.40997261007,27514.49620075003,27579.20698436704,27647.75619154379
Daya Bay (far hall),5.17,23443.870000000003,24510.42919540149,23221.078109371785,23273.013888674344,23326.903569586415
Daya Bay (far hall),5.42,18945.02,19817.63937904287,18835.964864828533,18876.367800723652,18917.981469050374
Daya Bay (far hall),5.67,15003.310000000001,15608.733078825711,14880.02542307639,14910.476640282446,14942.200364442171
Daya Bay (far hall),5.92,11523.35,12364.621046035583,11820.491611750675,11843.246638867075,11867.027027188093
Daya Bay (far hall),6.17,8862.91,9261.617637890484,8877.032306160452,8893.133112704878,8910.096985947112
Daya Bay (far hall),6.42,6213.89,6552.1871690860935,6294.928757126946,6305.918404919653,6317.463748607208
Daya Bay (far hall),6.67,4414.6900000000005,4525.029276360761,4357.042722903074,4364.173203868653,4371.81406896911
Daya Bay (far hall),6.92,2892.5299999999997,2995.4750538801236,2890.1576338410205,2894.645909698338,2899.5367718974317
Daya Bay (far hall),7.17,1834.24,1866.5598059232018,1804.3874627572404,1807.0083689123667,1809.9483266508369
Daya Bay (far hall),9.65,2128.56,2229.1422729187825,2183.18780515111,2185.129037367832,2187.4514225171515
KamLAND,1.1111111111111112,143.0,158.26669676799347,126.89254683625344,134.06608426821435,142.46489356055213
KamLAND,1.5333333333333334,229.0,291.87974137882657,219.01739341587574,228.80315231074763,238.95156474050077
KamLAND,1.9555555555555557,228.0,356.3825381127419,248.08799018427018,255.32972137432665,261.6823912014415
KamLAND,2.3777777777777778,238.0,404.2445679293238,223.54382957474866,232.18657410120903,240.0014092009138
KamLAND,2.8,169.0,407.39179301644526,195.90596516302813,201.95517426615652,209.79013557356805
KamLAND,3.222222222222222,195.0,388.5904581669602,182.69995296279748,190.35802607845335,198.20143419764395
KamLAND,3.644444444444444,189.0,338.6647648311461,178.45621297716818,186.274403574916,194.4945301373924
KamLAND,4.066666666666666,176.0,281.1942052581139,168.76746351242406,173.43774456729312,178.9350990182935
KamLAND,4.488888888888889,181.0,233.67371738538606,150.27607279573206,153.57117989556872,156.8478373796765
KamLAND,4.911111111111111,123.0,179.7551304429068,113.53122494985932,116.72655573884289,119.5396871543416
