subset,experiments,ordering,B,seed,d,Nlike_used,neff,eta,logZ_cube,logZ_phys,fresh_logZ_cube,fresh_se,fresh_ess,P_upper,wall_time_s
da,dayabay,IO,50000.0,11,6,34676.0,23730.78733101019,0.6843576920928074,-171.9283571621503,-171.9283571621503,-171.9671862520402,0.001338162539400947,54179.05889599433,0.49969324940644233,61.3284748
da,dayabay,IO,50000.0,23,6,35577.0,24613.43901149547,0.6918357087864483,-171.92978492244495,-171.92978492244495,-171.96832422683713,0.001319998365373916,54321.15761258512,0.4963331695853673,39.5654619
da,dayabay,NO,50000.0,11,6,33564.0,22317.106698394135,0.6649120098437056,-171.92536165156955,-171.92536165156955,-171.9681694005742,0.001457109959185504,53220.36221877733,0.5032733305505044,121.2263039
da,dayabay,NO,50000.0,23,6,35409.0,24576.596155464562,0.6940776682613053,-171.93593771083746,-171.93593771083746,-171.96851162824504,0.0012495959836070444,54860.260382303255,0.49972978815670244,38.8816705
daka,dayabay+kamland,IO,50000.0,11,9,25791.0,4461.078017106457,0.17297033915344334,-240.10991817778398,-238.35886941156627,-240.05061089228587,0.0032795249306944527,36467.3745297876,0.49743491007516066,72.2186067
daka,dayabay+kamland,IO,50000.0,23,9,24636.0,3821.2090021124022,0.15510671383797703,-240.083117635507,-238.3320688692893,-240.0512586793028,0.0034981721740369076,34597.681054967135,0.48924273625298387,44.4002297
daka,dayabay+kamland,NO,50000.0,11,9,25272.0,4202.283054184641,0.1662821721345616,-240.08802196339127,-238.33697319717356,-240.04806650416668,0.0031914762237115687,37241.1497172843,0.5032423569308914,151.7156156
daka,dayabay+kamland,NO,50000.0,23,9,25190.0,3884.456140849928,0.1542062779217915,-240.10850526969864,-238.35745650348093,-240.05065481866768,0.003518384147880881,34428.75609385522,0.5126622063413991,49.0606241
dakami,dayabay+kamland+minos,IO,500000.0,11,11,115391.0,2018.0695478172745,0.017488968358167226,-511.5028521329335,-508.0007546004981,-511.26795537632046,0.008324665183535584,11632.565131432963,0.6278391644973322,984.1533729
dakami,dayabay+kamland+minos,IO,500000.0,23,11,115086.0,1957.6505328415358,0.01701032734512917,-511.5544434321749,-508.05234589973946,-511.28823267919023,0.0067358379734426856,16119.302522461723,0.6019353584275995,884.3227351
dakami,dayabay+kamland+minos,IO,500000.0,41,11,114864.0,1248.9451998714646,0.010873251844541933,-511.5499085868003,-508.0478110543649,-511.2676110369431,0.017672616889306384,3039.6721378011634,0.6402508157218574,782.2300521
dakami,dayabay+kamland+minos,NO,500000.0,11,11,117567.0,2275.831879529363,0.01935774392073765,-511.0738689227711,-507.5717713903357,-510.8758114367492,0.005689239722574935,20394.188738440847,0.6140785561024376,1001.9544037
dakami,dayabay+kamland+minos,NO,500000.0,23,11,117693.0,2191.018014525546,0.01861638342573939,-511.09297354163164,-507.5908760091962,-510.8723023402653,0.006313979096720817,17688.99184972771,0.6259521734374749,899.8331785
dakami,dayabay+kamland+minos,NO,500000.0,41,11,118203.0,2232.179578460079,0.01888428871060869,-511.0904449848116,-507.5883474523762,-510.85446859387145,0.025015602247000297,1556.5738490731937,0.6524849423780877,801.4830036
dami,dayabay+minos,IO,50000.0,11,8,25412.0,6543.326899658973,0.25748964661022244,-443.0877535154135,-441.3367047491958,-443.1781310356962,0.0031472459908264707,37634.082368802614,0.6168078143831947,253.8544385
dami,dayabay+minos,IO,50000.0,23,8,26864.0,7626.271036521247,0.28388441916770574,-443.1034373579073,-441.3523885916896,-443.17533950124675,0.00304222055003249,38577.8383438357,0.59624550794909,181.0933946
dami,dayabay+minos,NO,50000.0,11,8,28436.0,8997.190243983898,0.31640140118103455,-442.7372655273233,-440.9862167611056,-442.79184463517925,0.002747088348355872,41300.06784410175,0.5905424114378255,343.7539754
dami,dayabay+minos,NO,50000.0,23,8,27061.0,7383.766399210138,0.27285637630575876,-442.7380146274056,-440.9869658611879,-442.79271898994415,0.0031096078081836406,37970.59873500742,0.5922933073109763,200.0823123
ka,kamland,IO,50000.0,11,9,27425.0,3860.303138437333,0.14075854652460648,-68.2014256677952,-66.45037690157749,-68.09302833938992,0.00791057481537092,12619.440221791872,0.4979088123135174,105.2688027
ka,kamland,IO,50000.0,23,9,26453.0,2751.8243464375932,0.10402692875808389,-68.24521130927637,-66.49416254305865,-68.09173034012842,0.022070629719854573,1985.0279491140718,0.5102891812816737,42.1057421
ka,kamland,NO,50000.0,11,9,28537.0,4275.157983556357,0.14981105174182138,-68.19962155160962,-66.4485727853919,-68.11409816904577,0.005718646281991951,20255.61085359917,0.49562692573483935,146.2618155
ka,kamland,NO,50000.0,23,9,29145.0,5023.248369690436,0.17235369256100314,-68.1878994785836,-66.43685071236588,-68.103308489483,0.006016333021690916,18917.06377030276,0.4981305779806732,41.162799
kami,kamland+minos,IO,50000.0,11,11,33791.0,1946.5276141676281,0.05760491296995141,-340.3396320501559,-336.8375345177205,-340.1158311523049,0.009476810713329446,9391.866224713678,0.6049892304091178,358.4046441
kami,kamland+minos,IO,50000.0,23,11,34261.0,2267.9192044273896,0.06619535928394937,-340.2923023759093,-336.7902048434739,-340.124865481738,0.008093434508263607,12170.00172033332,0.6212713285508709,264.7083485
kami,kamland+minos,NO,50000.0,11,11,36795.0,2851.6167884822107,0.07750011655067837,-340.291000082133,-336.7889025496976,-340.1254229504882,0.0093468252706298,9612.76391214822,0.6143127503495133,464.4050923
kami,kamland+minos,NO,50000.0,23,11,36714.0,3262.017051434109,0.08884940489824342,-340.2571182754217,-336.7550207429863,-340.090576217321,0.0074578573502532,13834.05684956148,0.623648126921642,262.7191778
mi,minos,IO,50000.0,11,8,28303.0,9233.436780733315,0.3262352676653823,-271.8715167068283,-270.1204679406106,-271.9246355236571,0.002874165456752353,40116.569026934325,0.6010393787697141,274.6815734
mi,minos,IO,50000.0,23,8,26977.0,8113.553669112746,0.3007581891653166,-271.8670579872804,-270.1160092210627,-271.92154893728485,0.0029722552341743553,39214.42433066691,0.5832094145910747,169.802583
mi,minos,NO,50000.0,11,8,26424.0,7005.79018667385,0.2651298133013113,-271.86898921127533,-270.1179404450576,-271.905923952468,0.0032523533133635607,36704.935612550355,0.612299137313237,335.6231036
mi,minos,NO,50000.0,23,8,25991.0,7218.825184884795,0.27774326439478264,-271.84108629281263,-270.0900375265949,-271.9050261925102,0.003063383407781218,38386.49557272495,0.58510931152482,164.5410641
