subset,experiments,ordering,d,Nlike_used,neff,eta,logZ,logZ_halfrange,logZ_phys,P_upper,P_upper_halfrange,n_seeds,evidence_source,lnB_NO_IO,lnB_err
da,dayabay,IO,6,35126.5,24172.11317125283,0.6880967004396279,-171.96775523943865,0.0005689873984664473,-171.96775523943865,0.4980132094959048,0.0016800399105375285,2,fresh draws from final mixture,-0.0005852749709731597,0.0005941604196562612
da,dayabay,NO,6,34486.5,23446.85142692935,0.6794948390525055,-171.96834051440962,0.00017111383542101066,-171.96834051440962,0.5015015593536034,0.001771771196900973,2,fresh draws from final mixture,-0.0005852749709731597,0.0005941604196562612
ka,kamland,IO,9,26939.0,3306.063742437463,0.12239273764134519,-68.09237933975916,0.0006489996307479373,-66.34133057354146,0.5040989967975955,0.006190184484078126,2,fresh draws from final mixture,-0.01632398950522429,0.005433736908202404
ka,kamland,NO,9,28841.0,4649.203176623397,0.16108237215141225,-68.10870332926439,0.0053948397813883275,-66.35765456304667,0.49687875185775626,0.0012518261229169103,2,fresh draws from final mixture,-0.01632398950522429,0.005433736908202404
mi,minos,IO,8,27640.0,8673.49522492303,0.3134967284153495,-271.92309223047096,0.0015432931861312227,-270.1720434642533,0.5921243966803944,0.008914982089319734,2,fresh draws from final mixture,0.0176171579818174,0.0016072482987454953
mi,minos,NO,8,26207.5,7112.307685779322,0.27143653884804697,-271.90547507248914,0.0004488799789044151,-270.1544263062714,0.5987042244190286,0.0135949128942085,2,fresh draws from final mixture,0.0176171579818174,0.0016072482987454953
daka,dayabay+kamland,IO,9,25213.5,4141.14350960943,0.16403852649571019,-240.05093478579434,0.0003238935084652894,-238.29988601957663,0.4933388231640723,0.004096086911088398,2,fresh draws from final mixture,0.0015741243771572044,0.0013340727093542788
daka,dayabay+kamland,NO,9,25231.0,4043.369597517284,0.16024422502817653,-240.04936066141718,0.0012941572504985288,-238.29831189519948,0.5079522816361453,0.004709924705253887,2,fresh draws from final mixture,0.0015741243771572044,0.0013340727093542788
dami,dayabay+minos,IO,8,26138.0,7084.79896809011,0.2706870328889641,-443.1767352684715,0.0013957672247215669,-441.42568650225377,0.6065266611661424,0.010281153217052308,2,fresh draws from final mixture,0.3844534559098065,0.0014626312622579246
dami,dayabay+minos,NO,8,27748.5,8190.478321597018,0.29462888874339666,-442.79228181256167,0.00043717738245163673,-441.041233046344,0.5914178593744008,0.000875447936575402,2,fresh draws from final mixture,0.3844534559098065,0.0014626312622579246
kami,kamland+minos,IO,11,34026.0,2107.2234092975086,0.06190013612695039,-340.12034831702147,0.0045171647165602735,-336.61825078458605,0.6131302794799943,0.008141049070876538,2,fresh draws from final mixture,0.01234873311688034,0.01799940221739426
kami,kamland+minos,NO,11,36754.5,3056.81691995816,0.0831747607244609,-340.1079995839046,0.017423366583614097,-336.6059020514692,0.6189804386355776,0.004667688286064342,2,fresh draws from final mixture,0.01234873311688034,0.01799940221739426
dakami,dayabay+kamland+minos,IO,11,115086.0,1957.6505328415358,0.01701032734512917,-511.2745996974846,0.010310821123567848,-507.77250216504916,0.6233417795489297,0.019157728647128947,3,fresh draws from final mixture,0.4070722405225524,0.014838876903870554
dakami,dayabay+kamland+minos,NO,11,117693.0,2232.179578460079,0.01888428871060869,-510.867527456962,0.010671421438871675,-507.36542992452655,0.6308385573060001,0.019203193137825092,3,fresh draws from final mixture,0.4070722405225524,0.014838876903870554
