time,ordering,iteration,ess
2026-09-12T19:02:03,NO,172,28845.51131359297
2026-09-12T19:02:03,IO,195,22549.534911955125
2026-09-12T19:34:47,NO,193,35150.00227209188
2026-09-12T19:40:08,IO,216,27082.26757281472
2026-09-12T20:56:41,IO,237,32786.31982698034
2026-09-12T20:57:41,NO,213,40705.1050589268
2026-09-12T21:01:03,NO,213,40705.1050589268
2026-09-12T21:01:03,IO,237,32786.31982698034
2026-09-12T21:59:50,IO,257,37430.340058966256
2026-09-12T22:12:31,NO,234,46900.122703772744
2026-09-12T22:57:16,IO,278,42520.96672418846
2026-09-12T23:09:57,NO,254,52974.231763647134
2026-09-13T00:05:03,IO,298,46650.077918225674
2026-09-13T01:04:52,NO,275,59374.927005365476
2026-09-13T02:31:05,IO,319,51020.766192401665
2026-09-13T04:02:59,NO,295,66179.34410420837
2026-09-13T04:23:02,IO,332,54230.46909167425
2026-09-13T04:27:22,IO,14,1637.2233885491255
2026-09-13T04:30:03,IO,37,2701.651398990835
2026-09-13T04:33:23,IO,58,3699.8930235895964
2026-09-13T04:38:04,IO,79,4944.709567111959
2026-09-13T04:45:05,IO,100,7111.516072445823
2026-09-13T04:55:27,IO,120,10317.273477532464
2026-09-13T05:12:30,IO,141,14783.869636899984
2026-09-13T05:15:10,NO,301,68981.01871262264
2026-09-13T05:17:31,NO,21,2487.727171611405
2026-09-13T05:21:11,NO,43,4234.635215794094
2026-09-13T05:25:32,NO,63,5900.583673755158
2026-09-13T05:32:33,NO,84,7916.548715686864
2026-09-13T05:38:14,IO,161,19456.282728211434
2026-09-13T05:43:35,NO,105,10683.160723372694
2026-09-13T06:00:58,NO,125,16089.270159720727
2026-09-13T06:14:41,IO,182,25236.23675189118
2026-09-13T06:27:23,NO,146,22664.28483838444
2026-09-13T06:58:28,IO,203,29992.175263265126
2026-09-13T07:03:09,NO,166,30250.752603972524
2026-09-13T07:56:59,IO,223,35462.74311854585
2026-09-13T07:57:59,NO,187,36469.40800631977
2026-09-13T09:09:12,NO,207,43624.75283362595
2026-09-13T09:19:14,IO,244,41006.05477890379
2026-09-13T10:49:51,NO,228,51069.32230237731
2026-09-13T11:00:13,IO,264,46784.45361533649
2026-09-13T12:43:32,NO,249,57522.508443465194
2026-09-13T12:56:54,IO,285,52446.34162687831
2026-09-13T14:41:52,NO,269,63360.95417660235
2026-09-13T14:50:33,IO,305,58087.260718972124
