iter,efficiency,ess,cloud_n
0,0.0012876103786018888,2.5752207572037777,2000
1,0.0893154259162125,180.50647577666547,2021
2,0.1810121162339726,371.25585039587776,2051
3,0.2339625646656289,483.60062116385495,2067
4,0.27024153461321354,560.2107012531917,2073
5,0.29341868997694526,608.5503630121844,2074
6,0.20117107329096656,440.56465050721675,2190
7,0.31287164150085417,688.63048294338,2201
8,0.32821551016211525,724.0434154176263,2206
9,0.3364361165360536,748.5703592927192,2225
10,0.3531221699857768,788.5218055782395,2233
11,0.36766813842442087,821.0029531017318,2233
12,0.38230985580886884,853.6979080212042,2233
13,0.38548807577993605,866.5771943532962,2248
14,0.4022762813627779,905.523909347613,2251
15,0.4115134378195468,927.139775407439,2253
